Title,Price,Specifications,Warranty
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB Emmc+ 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",298,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB Emmc+ 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold
Options:
4 capacities
1,781
500+ bought in past month
$298
99 List:
$399.00
Ships to India
Add to cart",Check product page for warranty details
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",249,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S
1,393
2K+ bought in past month
$249
98
Ships to India
Add to cart",Check product page for warranty details
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",491,"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver
Options:
7 capacities
791
1K+ bought in past month
$491
44
Ships to India
Add to cart
More Buying Choices
$399.99(50 used & new offers)",Check product page for warranty details
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",307,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red
Options:
2 capacities
435
1K+ bought in past month
$307
00
Ships to India
Add to cart
More Buying Choices
$207.55(30 used & new offers)",Check product page for warranty details
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode
38,064
3K+ bought in past month
$299
99 List:
$321.99
Amazon Music offer with this purchase
Delivery Mon, Jul 15
Ships to India
Add to cart
More Buying Choices
$249.99(29 used & new offers)",Check product page for warranty details
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",389,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey
Options:
4 capacities
425
1K+ bought in past month
$389
00
Save $40.00 with coupon
Ships to India
Only 14 left in stock - order soon.
Add to cart
More Buying Choices
$289.99(3 used & new offers)",Check product page for warranty details
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",224,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver
Options:
3 capacities
1,037
500+ bought in past month
$224
84
Ships to India
Only 4 left in stock - order soon.
Add to cart
More Buying Choices
$164.00(28 used & new offers)
+1",Check product page for warranty details
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",514,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black
82
500+ bought in past month
$514
00
Ships to India
Only 9 left in stock - order soon.
Add to cart
More Buying Choices
$329.99(45 used & new offers)",Check product page for warranty details
"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",442,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver
Options:
8 capacities
1,167
1K+ bought in past month
$442
00
Ships to India
Add to cart
More Buying Choices
$383.89(89 used & new offers)",Check product page for warranty details
"jumper Laptop, 12GB DDR4 RAM 512GB SSD, 14 Inch 1080p FHD IPS Screen, Quad-Core Celeron Processor, UHD Graphics 600, Windows 11 Computer with Dual Stereo Speakers, 5G WiFi, Type-C, HD Webcam.",249,"jumper Laptop, 12GB DDR4 RAM 512GB SSD, 14 Inch 1080p FHD IPS Screen, Quad-Core Celeron Processor, UHD Graphics 600, Windows 11 Computer with Dual Stereo Speakers, 5G WiFi, Type-C, HD Webcam.
Options:
2 capacities
61
200+ bought in past month
$249
99 Typical:
$499.99
Save $30.00 with coupon
Ships to India
Add to cart",Check product page for warranty details
"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",423,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver
540
500+ bought in past month
$423
96
Ships to India
Only 18 left in stock - order soon.
Add to cart
More Buying Choices
$299.99(77 used & new offers)",Check product page for warranty details
"HP Newest 15.6"""" G8 Business Laptop, Intel Core i5-1135G7 4-core Processor, 16GB Memory, 1TB SSD Storage, 15.6"""" FHD Display, Ethernet Port, Windows 11 Pro, Bundled w 250GB Portable SSD, Gray",649,"HP Newest 15.6"""" G8 Business Laptop, Intel Core i5-1135G7 4-core Processor, 16GB Memory, 1TB SSD Storage, 15.6"""" FHD Display, Ethernet Port, Windows 11 Pro, Bundled w 250GB Portable SSD, Gray
15
200+ bought in past month
$649
00
Save $100.00 with coupon
Ships to India
Add to cart",Check product page for warranty details
"Dell Newest 13th Generation Business Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 32GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black",787,"Dell Newest 13th Generation Business Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 32GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black
19
200+ bought in past month
$787
00
Ships to India
Only 7 left in stock - order soon.
Add to cart
More Buying Choices
$612.00(14 used & new offers)",Check product page for warranty details
"Lenovo Newest 15.6"" FHD Laptop, Intel Pentium N6000 Quad-core Processor, 16GB Memory, 1TB SSD Storage, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Windows 11 Home, WOWPC USB Bundle",399,"Lenovo Newest 15.6"" FHD Laptop, Intel Pentium N6000 Quad-core Processor, 16GB Memory, 1TB SSD Storage, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Windows 11 Home, WOWPC USB Bundle
66
300+ bought in past month
$399
99 List:
$429.00
Add to cart
More Buying Choices
$320.00(3 used & new offers)",Check product page for warranty details
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",151,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey
619
500+ bought in past month
$151
00
Ships to India
Only 1 left in stock - order soon.
Add to cart
More Buying Choices
$108.00(43 used & new offers)",Check product page for warranty details
"Laptop, 12GB RAM, 512GB SSD Endless Power laptop computer, Expandable to 1TB, with 15.6-inch FHD(1920 x 1080) FHD IPS, Intel N5095 (Up to 2.8GHz), BT 4.2, WiFi",329,"Laptop, 12GB RAM, 512GB SSD Endless Power laptop computer, Expandable to 1TB, with 15.6-inch FHD(1920 x 1080) FHD IPS, Intel N5095 (Up to 2.8GHz), BT 4.2, WiFi
33
300+ bought in past month
$329
99 List:
$799.00
Save $20.00 with coupon
Ships to India
Add to cart
More Buying Choices
$303.59(2 used & new offers)",Check product page for warranty details
"15.6'' Laptop 8GB DDR4 256GB SSD, Quad-Core Intel Celeron N5095 Processors, 1366P IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi",209,"15.6'' Laptop 8GB DDR4 256GB SSD, Quad-Core Intel Celeron N5095 Processors, 1366P IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi
Options:
2 capacities
119
100+ bought in past month
$209
99
Ships to India
Add to cart",Check product page for warranty details
"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red",329,"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red
Options:
2 capacities
380
500+ bought in past month
$329
95
Ships to India
Add to cart",Check product page for warranty details
"Laptop 15.6 Inch, 512GB SSD 4GB DDR4 Laptops Computer with Celeron Quad Core Processor, UHD Graphics 600, Webcam, Mini HDMI, 5G/2.4G GHz WiFi, 2*USB3.2, BT4.2, Large Battery Capacity",209,"Laptop 15.6 Inch, 512GB SSD 4GB DDR4 Laptops Computer with Celeron Quad Core Processor, UHD Graphics 600, Webcam, Mini HDMI, 5G/2.4G GHz WiFi, 2*USB3.2, BT4.2, Large Battery Capacity
28
50+ bought in past month
$209
99
Save $20.00 with coupon
Ships to India
Add to cart",Check product page for warranty details
"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" FHD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 in S Mode, Silver",214,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" FHD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 in S Mode, Silver
675
500+ bought in past month
$214
99 List:
$229.99
Amazon Music offer with this purchase
Delivery Mon, Jul 15
Ships to India
Add to cart
More Buying Choices
$180.00(32 used & new offers)",Check product page for warranty details
"Lenovo IdeaPad 1 15.6"" FHD Laptop Newest, Intel Pentium Silver N6000, 12GB RAM, 256GB PCIe SSD+128GB eMMC, 1 Year Microsoft Office 365, Webcam, Type-C, SD Card Reader, Wi-Fi 6, Windows 11",294,"Lenovo IdeaPad 1 15.6"" FHD Laptop Newest, Intel Pentium Silver N6000, 12GB RAM, 256GB PCIe SSD+128GB eMMC, 1 Year Microsoft Office 365, Webcam, Type-C, SD Card Reader, Wi-Fi 6, Windows 11
172
500+ bought in past month
$294
00
Ships to India
Only 1 left in stock - order soon.
Add to cart
More Buying Choices
$223.99(19 used & new offers)",Check product page for warranty details
"HP 17 Laptop, 17.3” HD+, Intel Quad Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Windows 11 Pro, Anti-Glare Display, Long Battery Life, Wi-Fi, Bluetooth, Webcam, HDMI, Alpacatec Accessories, Silver",629,"HP 17 Laptop, 17.3” HD+, Intel Quad Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Windows 11 Pro, Anti-Glare Display, Long Battery Life, Wi-Fi, Bluetooth, Webcam, HDMI, Alpacatec Accessories, Silver
Options:
5 capacities
48
200+ bought in past month
$629
99
Save $50.00 with coupon
Ships to India
Only 13 left in stock - order soon.
Add to cart
More Buying Choices
$628.99(3 new offers)",Check product page for warranty details
"HP Premium Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 64GB eMMC Storage, UHD Graphics, HD Webcam, 1 Year Office 365, Bluetooth, WiFi, HDMI, Win 11s, Gold, 32GB Hotface USB Card",289,"HP Premium Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 64GB eMMC Storage, UHD Graphics, HD Webcam, 1 Year Office 365, Bluetooth, WiFi, HDMI, Win 11s, Gold, 32GB Hotface USB Card
1,196
200+ bought in past month
$289
00
Ships to India
Add to cart
+1",Check product page for warranty details
"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",670,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver
Options:
4 capacities
677
500+ bought in past month
$670
99
Ships to India
Only 7 left in stock - order soon.
Add to cart
More Buying Choices
$652.41(17 used & new offers)",Check product page for warranty details
"HP Stream 14-inch Laptop for Student and Business - Intel Quad-Core Processor, 16GB RAM, 320GB Storage (64GB eMMC + 256GB Card), 1-Year Office 365, Webcam, 11H Long Battery Life, Wi-Fi, Win11 H in S",299,"HP Stream 14-inch Laptop for Student and Business - Intel Quad-Core Processor, 16GB RAM, 320GB Storage (64GB eMMC + 256GB Card), 1-Year Office 365, Webcam, 11H Long Battery Life, Wi-Fi, Win11 H in S
1,632
200+ bought in past month
$299
99
Ships to India
Only 10 left in stock - order soon.
Add to cart
More Buying Choices
$287.99(4 used & new offers)
+2",Check product page for warranty details
"ACEMAGIC Laptop, 16GB DDR4 512GB SSD, Quad-Core N95 Processor, Windows 11 Laptop Computer, 15.6"" IPS 1080P PC, Metal Shell, 180° Open Angle,WiFi, BT5.0, USB3.2, Type_C, Long Battery Life",359,"ACEMAGIC Laptop, 16GB DDR4 512GB SSD, Quad-Core N95 Processor, Windows 11 Laptop Computer, 15.6"" IPS 1080P PC, Metal Shell, 180° Open Angle,WiFi, BT5.0, USB3.2, Type_C, Long Battery Life
Options:
2 capacities
114
100+ bought in past month
$359
99 Typical:
$1,299.99
Save 10% with coupon
Ships to India
Add to cart",Check product page for warranty details
"Dell 2023 Newest Inspiron 15 3525 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Processor up to 4GHz, 16GB RAM, 512GB SSD, AMD Radeon Graphics, Wi-Fi, Bluetooth, Windows 11 Home",418,"Dell 2023 Newest Inspiron 15 3525 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Processor up to 4GHz, 16GB RAM, 512GB SSD, AMD Radeon Graphics, Wi-Fi, Bluetooth, Windows 11 Home
153
300+ bought in past month
$418
36
Ships to India
Add to cart
More Buying Choices
$410.00(22 used & new offers)",Check product page for warranty details
"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9",849,"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9
104
500+ bought in past month
$849
99
Amazon Music offer with this purchase
$28.25 delivery
Ships to India
Add to cart",Check product page for warranty details
"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",537,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black
325
400+ bought in past month
$537
00
Ships to India
Only 13 left in stock - order soon.
Add to cart
More Buying Choices
$369.00(49 used & new offers)",Check product page for warranty details
