Laptop Name,Price,Specification,Warranty
HP Intel Core i5 13th Gen 1335U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 15-fd0187TU Thin and Light Lap...,"₹52,990",Intel Core i5 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty, 
Infinix Y1 Plus Neo Intel Intel Celeron Quad Core 11th Gen JSL N5100 - (8 GB/SSD/512 GB SSD/Windows 11...,"₹22,990",Intel Celeron Quad Core Processor (11th Gen) | 8 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.01 cm (15.36 inch) Display | 1 Year Onsite Warranty, 
Lenovo Yoga 6 AMD Ryzen 7 Octa Core 7730U - (16 GB/SSD/1 TB SSD/Windows 11 Home) 13ABR8 2 in 1 Laptop,"₹81,690",AMD Ryzen 7 Octa Core Processor | 16 GB LPDDR4X RAM | Windows 11 Operating System | 1 TB SSD | 33.78 cm (13.3 inch) Touchscreen Display | 1 Year Onsite Warranty, 
Acer Intel Core i5 13th Gen 1335U - (8 GB/SSD/256 GB SSD/Chrome OS) Chromebook Plus Chromebook,"₹51,990",Intel Core i5 Processor (13th Gen) | 8 GB LPDDR5X RAM | Chrome Operating System | 256 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,1 Year Carry-in Warranty
HP 245G9 AMD Ryzen 3 Dual Core AMD Ryzen 3 3250U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 245 G8 Busine...,"₹25,990",AMD Ryzen 3 Dual Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 inch) Display | NA | 1 Year Onsite Warranty, 
Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...,"₹89,990",Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Operating System | 512 GB SSD | 40.64 cm (16 Inch) Display | 1 Year International Travelers Warranty (ITW), 
Acer Intel Core i3 N305 - (8 GB/SSD/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebook,"₹28,990",Intel Core i3 Processor | 8 GB LPDDR5 RAM | Chrome Operating System | 256 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Carry-in Warranty,1 Year Carry-in Warranty
Lenovo Yoga Slim 7 AI PC Intel Core Ultra 7 155H - (32 GB/SSD/1 TB SSD/Windows 11 Home) 14IMH9 Thin an...,"₹1,02,990",Intel Core Ultra 7 Processor | 32 GB LPDDR5X RAM | Windows 11 Operating System | 1 TB SSD | 35.56 cm (14 inch) Display | 1 Year Carry-in Warranty,1 Year Carry-in Warranty
ASUS Vivobook 14 (2023) Intel Core i3 13th Gen 1315U - (8 GB/SSD/512 GB SSD/Windows 11 Home) X1404VA-N...,"₹38,990",Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty, 
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/SSD/512 GB SSD/Windows 11 Home) SFG14...,"₹59,990",Intel Core i5 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty, 
HP 250 G9 Intel Core i3 12th Gen Intel Core i3 1215U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 250 G9 Bu...,"₹33,749",Intel Core i3 Processor (12th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | Windows | 1 year Domestic warranty, 
ASUS Vivobook Go 15 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/SSD/512 GB SSD/Windows 11 Home) E1504FA...,"₹35,990",AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty, 
